Price,Close,Target
Ticker,AAPL,
Date,,
2020-01-02,72.53851318359375,0
2020-01-03,71.83329010009766,1
2020-01-06,72.4056625366211,0
2020-01-07,72.06512451171875,1
2020-01-08,73.22441864013672,1
2020-01-09,74.77975463867188,1
2020-01-10,74.94881439208984,1
2020-01-13,76.55005645751953,0
2020-01-14,75.51634979248047,0
2020-01-15,75.19276428222656,1
2020-01-16,76.13465881347656,1
2020-01-17,76.9775390625,0
2020-01-21,76.45584869384766,1
2020-01-22,76.72877502441406,1
2020-01-23,77.09827423095703,0
2020-01-24,76.87609100341797,0
2020-01-27,74.61553192138672,1
2020-01-28,76.7263412475586,1
2020-01-29,78.33240509033203,0
2020-01-30,78.2188949584961,0
2020-01-31,74.75076293945312,0
2020-02-03,74.54550170898438,1
2020-02-04,77.00651550292969,1
2020-02-05,77.63444519042969,1
2020-02-06,78.54252624511719,0
2020-02-07,77.47492980957031,1
2020-02-10,77.84290313720703,0
2020-02-11,77.37324523925781,1
2020-02-12,79.210693359375,0
2020-02-13,78.6466293334961,1
2020-02-14,78.666015625,0
2020-02-18,77.22560119628906,1
2020-02-19,78.34400177001953,0
2020-02-20,77.54029083251953,0
2020-02-21,75.78517150878906,0
2020-02-24,72.18534851074219,0
2020-02-25,69.74024963378906,1
2020-02-26,70.84660339355469,0
2020-02-27,66.21548461914062,0
2020-02-28,66.1767349243164,1
2020-03-02,72.33784484863281,0
2020-03-03,70.04048156738281,1
2020-03-04,73.28924560546875,0
2020-03-05,70.91197204589844,0
2020-03-06,69.97024536132812,0
2020-03-09,64.43616485595703,1
2020-03-10,69.07695770263672,0
2020-03-11,66.67787170410156,0
2020-03-12,60.09312057495117,1
2020-03-13,67.29277801513672,0
2020-03-16,58.63576889038086,1
2020-03-17,61.2139778137207,0
2020-03-18,59.7154655456543,0
2020-03-19,59.25791549682617,0
2020-03-20,55.495906829833984,0
2020-03-23,54.31694030761719,1
2020-03-24,59.76630783081055,0
2020-03-25,59.437068939208984,1
2020-03-26,62.5648307800293,0
2020-03-27,59.97450256347656,1
2020-03-30,61.68605041503906,0
2020-03-31,61.56016159057617,0
2020-04-01,58.32105255126953,1
2020-04-02,59.294227600097656,0
2020-04-03,58.44209671020508,1
2020-04-06,63.540428161621094,0
2020-04-07,62.804500579833984,1
2020-04-08,64.41195678710938,1
2020-04-09,64.87674713134766,1
2020-04-13,66.15010833740234,1
2020-04-14,69.49092864990234,0
2020-04-15,68.85664367675781,1
2020-04-16,69.40377044677734,0
2020-04-17,68.46205139160156,0
2020-04-20,67.0409927368164,0
2020-04-21,64.96875,1
2020-04-22,66.84005737304688,0
2020-04-23,66.58104705810547,1
2020-04-24,68.50321197509766,1
2020-04-27,68.55162048339844,0
2020-04-28,67.44043731689453,1
2020-04-29,69.65554809570312,1
2020-04-30,71.125,0
2020-05-01,69.97992706298828,1
2020-05-04,70.97008514404297,1
2020-05-05,72.03524780273438,1
2020-05-06,72.77847290039062,1
2020-05-07,73.53134155273438,1
2020-05-08,75.28152465820312,1
2020-05-11,76.46609497070312,0
2020-05-12,75.59221649169922,0
2020-05-13,74.67948913574219,1
2020-05-14,75.13831329345703,0
2020-05-15,74.6940689086914,1
2020-05-18,76.45394134521484,0
2020-05-19,76.01216888427734,1
2020-05-20,77.49047088623047,0
2020-05-21,76.91275024414062,1
2020-05-22,77.40792846679688,0
2020-05-26,76.88360595703125,1
2020-05-27,77.21858215332031,1
2020-05-28,77.25257110595703,0
2020-05-29,77.17731475830078,1
2020-06-01,78.12645721435547,1
2020-06-02,78.48812866210938,1
2020-06-03,78.92021179199219,0
2020-06-04,78.24051666259766,1
2020-06-05,80.46890258789062,1
2020-06-08,80.94466400146484,1
2020-06-09,83.50072479248047,1
2020-06-10,85.64900970458984,0
2020-06-11,81.53695678710938,1
2020-06-12,82.24092102050781,1
2020-06-15,83.25798034667969,1
2020-06-16,85.46452331542969,0
2020-06-17,85.34557342529297,1
2020-06-18,85.37958526611328,0
2020-06-19,84.89167022705078,1
2020-06-22,87.11273956298828,1
2020-06-23,88.97213745117188,0
2020-06-24,87.4015884399414,1
2020-06-25,88.56190490722656,0
2020-06-26,85.84076690673828,1
2020-06-29,87.81914520263672,1
2020-06-30,88.55221557617188,0
2020-07-01,88.38469696044922,0
2020-07-02,88.38469696044922,1
2020-07-06,90.7490234375,0
2020-07-07,90.46743774414062,1
2020-07-08,92.57443237304688,1
2020-07-09,92.97252655029297,1
2020-07-10,93.13516998291016,0
2020-07-13,92.70550537109375,1
2020-07-14,94.23963928222656,1
2020-07-15,94.88777923583984,0
2020-07-16,93.72017669677734,0
2020-07-17,93.53084564208984,1
2020-07-20,95.50189208984375,0
2020-07-21,94.18379974365234,1
2020-07-22,94.44839477539062,0
2020-07-23,90.14945220947266,0
2020-07-24,89.92610931396484,1
2020-07-27,92.05738830566406,0
2020-07-28,90.54509735107422,1
2020-07-29,92.28070068359375,1
2020-07-30,93.3973388671875,1
2020-07-31,103.17498779296875,1
2020-08-03,105.77472686767578,1
2020-08-04,106.48109436035156,1
2020-08-05,106.86707305908203,1
2020-08-06,110.5955810546875,0
2020-08-07,108.08108520507812,1
2020-08-10,109.65206146240234,0
2020-08-11,106.39099884033203,1
